code,lang,serie,fichero,url,pdf,txt,titulo,n_caracteres
ITM-SST 1105.1,fr,itm-cl-1100-2000,ITM-SST-1105-1.pdf,https://itm.public.lu/dam-assets/fr/securite-sante/conditions-types/itm-cl-1100-2000/ITM-SST-1105-1.pdf,corpus/itm/pdf/ITM-SST-1105-1.pdf,corpus/itm/txt/ITM-SST-1105-1.txt,ITM-SST 1105.1 — Conditions d'exploitation pour les émetteurs — d'ondes électromagnétiques à haute fréquence — Prescriptions de sécurité types,26927
ITM-SST 1106.2,de,itm-cl-1100-2000,ITM-SST-1106-2-de.pdf,https://itm.public.lu/dam-assets/fr/securite-sante/conditions-types/itm-cl-1100-2000/ITM-SST-1106-2-de.pdf,corpus/itm/pdf/ITM-SST-1106-2-de.pdf,corpus/itm/txt/ITM-SST-1106-2-de.txt,ITM-SST 1106.2 — BLITZSCHUTZ — Sicherheitsvorschriften — (8 Seiten),17199
ITM-SST 1106.1,fr,itm-cl-1100-2000,ITM-SST-1106-1.pdf,https://itm.public.lu/dam-assets/fr/securite-sante/conditions-types/itm-cl-1100-2000/ITM-SST-1106-1.pdf,corpus/itm/pdf/ITM-SST-1106-1.pdf,corpus/itm/txt/ITM-SST-1106-1.txt,ITM-SST 1106.1 — BLITZSCHUTZ — Sicherheitsvorschriften — (6 Seiten),16511
ITM-SST 1203.2,fr,itm-cl-1100-2000,ITM-SST-1203-2.pdf,https://itm.public.lu/dam-assets/fr/securite-sante/conditions-types/itm-cl-1100-2000/ITM-SST-1203-2.pdf,corpus/itm/pdf/ITM-SST-1203-2.pdf,corpus/itm/txt/ITM-SST-1203-2.txt,ITM-SST 1203.2 — ASCENSEURS — avec marquage « CE » — Article 1er Objectif et champ d'application                                                       2,39162
ITM-SST 1203.1,fr,itm-cl-1100-2000,ITM-SST-1203-1.pdf,https://itm.public.lu/dam-assets/fr/securite-sante/conditions-types/itm-cl-1100-2000/ITM-SST-1203-1.pdf,corpus/itm/pdf/ITM-SST-1203-1.pdf,corpus/itm/txt/ITM-SST-1203-1.txt,ITM-SST 1203.1 — ASCENSEURS — (régis par la directive 95/16/CE) — Prescriptions de sécurité et de santé types,36356
ITM-SST 1204.1,fr,itm-cl-1100-2000,ITM-SST-1204-1.pdf,https://itm.public.lu/dam-assets/fr/securite-sante/conditions-types/itm-cl-1100-2000/ITM-SST-1204-1.pdf,corpus/itm/pdf/ITM-SST-1204-1.pdf,corpus/itm/txt/ITM-SST-1204-1.txt,ITM-SST 1204.1 — Appareils élévateurs à plateforme pour personnes — mis sur le marché avant 1995 — Prescriptions de sécurité types,31864
ITM-SST 1212.2,fr,itm-cl-1100-2000,ITM-SST-1212-2.pdf,https://itm.public.lu/dam-assets/fr/securite-sante/conditions-types/itm-cl-1100-2000/ITM-SST-1212-2.pdf,corpus/itm/pdf/ITM-SST-1212-2.pdf,corpus/itm/txt/ITM-SST-1212-2.txt,ITM-SST 1212.2 — Conditions d’exploitation supplémentaires pour — ascenseurs ou plateformes servant au transport de — Avec ou sans marquage « CE » de conformité,12738
ITM-SST 1212.1,fr,itm-cl-1100-2000,ITM-SST-1212-1.pdf,https://itm.public.lu/dam-assets/fr/securite-sante/conditions-types/itm-cl-1100-2000/ITM-SST-1212-1.pdf,corpus/itm/pdf/ITM-SST-1212-1.pdf,corpus/itm/txt/ITM-SST-1212-1.txt,ITM-SST 1212.1 — Conditions d’exploitation pour ascenseurs ou plateformes — servant au transport de voitures — Prescriptions de sécurité types,11562
ITM-SST 1213.1,fr,itm-cl-1100-2000,ITM-SST-1213-1.pdf,https://itm.public.lu/dam-assets/fr/securite-sante/conditions-types/itm-cl-1100-2000/ITM-SST-1213-1.pdf,corpus/itm/pdf/ITM-SST-1213-1.pdf,corpus/itm/txt/ITM-SST-1213-1.txt,ITM-SST 1213.1 — MONTE - CHARGES — Prescriptions de sécurité types,19656
ITM-SST 1221.1,fr,itm-cl-1100-2000,ITM-SST-1221-1.pdf,https://itm.public.lu/dam-assets/fr/securite-sante/conditions-types/itm-cl-1100-2000/ITM-SST-1221-1.pdf,corpus/itm/pdf/ITM-SST-1221-1.pdf,corpus/itm/txt/ITM-SST-1221-1.txt,ITM-SST 1221.1 — Grues automotrices — Prescriptions de sécurité types.,29484
