building_id,lon,lat,area_m2,tipo,n_addresses,adresse_ejemplo,parcel_capakey,parcel_niscode,nis_total_edificios,nis_pct_pre1946,nis_pct_post1981,nis_pct_calefaccion,nis_viviendas,nis_epeil_medio
1755704,4.3472166,50.8500445,93,,0,,21811M0751/00B000,21004,27440,69.0,9.2,75.6,98852,
1814759,4.3460281,50.8500534,158,,0,,21811M0718/00D000,21004,27440,69.0,9.2,75.6,98852,
1803573,4.3487912,50.8499505,134,,0,,21812N0628/00G000,21004,27440,69.0,9.2,75.6,98852,
1815955,4.3476424,50.8499686,118,,1,"Rue Sainte-Catherine 32, 1000 Bruxelles",21811M0755/00G000,21004,27440,69.0,9.2,75.6,98852,
1813677,4.3474861,50.8499653,23,,0,,21811M0754/00L000,21004,27440,69.0,9.2,75.6,98852,
1817078,4.3486525,50.8499627,5,,0,,21812N0628/00G000,21004,27440,69.0,9.2,75.6,98852,
1758058,4.3481521,50.8500136,69,,0,,21812N0614/00P000,21004,27440,69.0,9.2,75.6,98852,
1754492,4.3475672,50.8500344,94,,0,,21811M0754/00L000,21004,27440,69.0,9.2,75.6,98852,
1771946,4.3449526,50.8498576,1552,,0,,21811M0575/00D000,21004,27440,69.0,9.2,75.6,98852,
1814869,4.3454815,50.8502457,1110,,0,,21811M0558/00K000,21004,27440,69.0,9.2,75.6,98852,
1830401,4.3452612,50.8496724,318,,0,,21811M0575/00D000,21004,27440,69.0,9.2,75.6,98852,
1821416,4.3474342,50.8496783,134,,0,,21811M0757/00E000,21004,27440,69.0,9.2,75.6,98852,
1823870,4.3476085,50.8498436,246,,1,"Rue Sainte-Catherine 30, 1000 Bruxelles",21811M0756/00C000,21004,27440,69.0,9.2,75.6,98852,
1770839,4.3476237,50.8494619,251,,1,"Rue Antoine Dansaert 27, 1000 Bruxelles",21811M0865/00G000,21004,27440,69.0,9.2,75.6,98852,
1756850,4.3475044,50.8496368,77,,0,,21811M0855/00F000,21004,27440,69.0,9.2,75.6,98852,
1816983,4.3475693,50.8495576,200,,0,,21811M0840/00C000,21004,27440,69.0,9.2,75.6,98852,
1797263,4.3475235,50.8498913,60,,0,,21811M0755/00G000,21004,27440,69.0,9.2,75.6,98852,
