numero_dpe,date_etablissement_dpe,id_rnb,identifiant_ban,adresse_ban,code_postal_ban,nom_commune_ban,code_departement_ban,type_batiment,periode_construction,annee_construction,surface_habitable_logement,etiquette_dpe,etiquette_ges,conso_5_usages_par_m2_ep
2633E1525812O,2026-06-08,5FTNS85BTCH3,33096_0569_00013,13 Avenue du Maréchal Foch 33560 Carbon-Blanc,33560,Carbon-Blanc,33,appartement,1978-1982,1978,53.1,D,B,243.8
2633E1526124O,2026-06-08,N92KHEFYQFZ3,33449_0588_00017,17 Rue Gustave Courbet 33160 Saint-Médard-en-Jalles,33160,Saint-Médard-en-Jalles,33,maison,1948-1974,,145,C,A,159
2633E1530280K,2026-06-08,ADGGD8EJW8B3,33167_1158_00009,9 Rue Joan Miro 33270 Floirac,33270,Floirac,33,maison,2006-2012,,101.5,C,C,129
2633E1530259P,2026-06-08,QWXTRCGM9ZRQ,33063_gi5v2o_00036,36 Rue Bavard 33200 Bordeaux,33200,Bordeaux,33,maison,1948-1974,,112,C,C,123
2633E1533724W,2026-06-08,FXGY2E485XZS,33063_6390_00012,12 Rue Minvielle 33000 Bordeaux,33000,Bordeaux,33,appartement,avant 1948,,98.5,B,A,87
2633E1526534I,2026-06-08,FPFR7ZA1WH8F,33312_0295_00002,2 Allée du Bois du Château 33290 Parempuyre,33290,Parempuyre,33,maison,1978-1982,,158.3,D,B,241
2633E1535535N,2026-06-08,KXYP8886SZWQ,33550_0630_00037_bis,37bis Chemin de Hourcade 33140 Villenave-d'Ornon,33140,Villenave-d'Ornon,33,maison,1989-2000,,150,C,C,99
2633E1529144S,2026-06-08,,33155_0010_00603,603 Chemin du Gaillon 33840 Escaudes,33840,Escaudes,33,maison,avant 1948,,130,E,C,255
2633E1534005R,2026-06-08,,33063_8690_00018,18 Rue du Soleil 33000 Bordeaux,33000,Bordeaux,33,appartement,avant 1948,,19.9,D,B,285
2633E1536550O,2026-06-08,9KR381HPEBKZ,33063_8640_00005,5 Allée Serr 33100 Bordeaux,33100,Bordeaux,33,appartement,2013-2021,,90,C,C,76
2633E1536847Z,2026-06-08,G7EDFT5QVE8C,33366_0321_00071_d,71d Rue de la Fontaine 33240 Saint-André-de-Cubzac,33240,Saint-André-de-Cubzac,33,maison,2001-2005,,80.5,C,B,165
