numero_dpe,date_etablissement_dpe,id_rnb,adresse_ban,code_postal_ban,nom_commune_ban,code_departement_ban,type_batiment,periode_construction,annee_construction,surface_habitable_logement,etiquette_dpe,etiquette_ges,conso_5_usages_par_m2_ep,rnb_status,rnb_lon,rnb_lat,rnb_insee_code,rnb_n_addresses,bdnb_batiment_groupe_id,bdnb_hauteur,bdnb_s_geom_cstr,bdnb_altitude_sol,bdnb_annee_construction,bdnb_mat_mur,bdnb_mat_toit,bdnb_nb_niveau,bdnb_nb_log,bdnb_usage,bdnb_alea_argiles,alea_argiles_final,alea_argiles_source
2675E1528826C,2026-06-08,MJ8ZTZ38EJSZ,29 Rue de l'Abbé Groult 75015 Paris,75015,Paris,75,appartement,1975-1977,1975,22.5,E,E,250.6,constructed,2.294887846675796,48.841793498210876,75115,2,bdnb-bg-6Z79-ATZ4-T5M6,21.4,430,32.2,1900,INDETERMINE,INDETERMINE,8,74,Résidentiel collectif,,Non exposé,Géorisques
2675E1529128S,2026-06-08,FCWS1X7GYXCH,25 Rue de Lyon 75012 Paris,75012,Paris,75,appartement,avant 1948,,33.4,E,C,335,constructed,2.371309653934481,48.8475455129431,75112,2,bdnb-bg-KV79-FMY1-9M9D,19.4,170,34.1,1860,BRIQUES - MEULIERE,ZINC ALUMINIUM,6,15,Résidentiel collectif,,Non exposé,Géorisques
2675E1527724S,2026-06-08,8Y781ZV9D6RN,27 Rue de l'Eglise 75015 Paris,75015,Paris,75,appartement,avant 1948,,24.4,G,C,577,constructed,2.286541352435898,48.84485761024335,75115,1,bdnb-bg-E7LM-SGEA-4WSJ,8.2,75,31.1,1880,AUTRES,TUILES - ZINC ALUMINIUM,5,19,Résidentiel collectif,,Non exposé,Géorisques
2675E1535407F,2026-06-08,F2TCW6JB14BQ,7 Rue de la Procession 75015 Paris,75015,Paris,75,appartement,1978-1982,,49.7,D,B,190,constructed,2.305598403957124,48.840235926781794,75115,1,bdnb-bg-W6HL-UW56-3E6R,18.2,211,46.0,1982,BETON,BETON,7,24,Résidentiel collectif,,Non exposé,Géorisques
2675E1536930U,2026-06-08,9D38PY5XBBKY,13 Rue de la Pierre Levée 75011 Paris,75011,Paris,75,appartement,avant 1948,1875,21.1,G,D,490,constructed,2.370206077878504,48.867460614773,75111,1,bdnb-bg-CHC9-D2X8-Y658,16.8,266,38.5,1875,BETON - BOIS,ZINC ALUMINIUM,7,38,Résidentiel collectif,,Non exposé,Géorisques
2675E1534192M,2026-06-08,ZAFF52YFD26R,38 Rue Marc Séguin 75018 Paris,75018,Paris,75,appartement,avant 1948,1900,28.2,D,B,271.8,constructed,2.360539582649754,48.89216007453177,75118,1,bdnb-bg-TBZH-M6UD-SU7B,21.9,77,52.0,1880,BRIQUES - MEULIERE,ZINC ALUMINIUM,6,11,Résidentiel collectif,,Non exposé,Géorisques
2675E1535452Y,2026-06-08,HYP2J1BHYBK5,6 Rue Jean Moréas 75017 Paris,75017,Paris,75,appartement,avant 1948,1930,70.8,E,E,280.1,constructed,2.292499493911449,48.88694532253719,75117,1,bdnb-bg-PQYN-16LV-F5VF,26.1,239,35.1,1900,BETON - PIERRE,ARDOISES,8,22,Résidentiel collectif,,Non exposé,Géorisques
2675E1528724E,2026-06-08,1FPZE3HA9GWJ,12 Rue Dieu 75010 Paris,75010,Paris,75,appartement,avant 1948,,22.2,C,B,204,constructed,2.36497537133985,48.87039103967368,75110,1,bdnb-bg-1N56-J896-HASF,15.8,212,36.0,2002,BETON - BRIQUES,BETON - TUILES,5,22,Résidentiel collectif,,Non exposé,Géorisques
2675E1536668S,2026-06-08,H49NQZCZK364,9 Rue Royer-Collard 75005 Paris,75005,Paris,75,appartement,avant 1948,1900,54.7,G,C,570.1,constructed,2.341870060871694,48.84565352254319,75105,1,bdnb-bg-TQT9-3U6N-RLE1,21.1,192,56.8,1780,AGGLOMERE - PIERRE,ZINC ALUMINIUM,6,10,Résidentiel collectif,,Non exposé,Géorisques
2675E1529373D,2026-06-08,E58HP8EG4HJF,20 Rue de l'Equerre 75019 Paris,75019,Paris,75,appartement,avant 1948,1900,32.3,F,F,335.2,constructed,2.382467834668464,48.87437336546633,75119,1,bdnb-bg-XGAF-B6W7-V7WA,19.2,229,77.3,1910,BRIQUES - PIERRE,ZINC ALUMINIUM,5,25,Résidentiel collectif,,Non exposé,Géorisques
2675E1532976S,2026-06-08,JA1PE67H4299,1 Rue Henri Desgrange 75012 Paris,75012,Paris,75,appartement,1989-2000,,125.5,C,C,99,constructed,2.380758262010176,48.83924875204807,75112,1,bdnb-bg-GX8B-X3W1-JNJR,26.3,142,32.6,,,,,,,,Non exposé,Géorisques
