numero_dpe,date_etablissement_dpe,id_rnb,identifiant_ban,adresse_ban,code_postal_ban,nom_commune_ban,code_departement_ban,type_batiment,periode_construction,annee_construction,surface_habitable_logement,etiquette_dpe,etiquette_ges,conso_5_usages_par_m2_ep,rnb_status,rnb_lon,rnb_lat,rnb_insee_code,rnb_n_addresses,rnb_match
2633E1525812O,2026-06-08,5FTNS85BTCH3,33096_0569_00013,13 Avenue du Maréchal Foch 33560 Carbon-Blanc,33560,Carbon-Blanc,33,appartement,1978-1982,1978,53.1,D,B,243.8,constructed,-0.504388330388186,44.90290463979253,33096,1,id_rnb
2633E1526124O,2026-06-08,N92KHEFYQFZ3,33449_0588_00017,17 Rue Gustave Courbet 33160 Saint-Médard-en-Jalles,33160,Saint-Médard-en-Jalles,33,maison,1948-1974,,145,C,A,159,constructed,-0.698391345578054,44.87746022061013,33449,1,id_rnb
2633E1530280K,2026-06-08,ADGGD8EJW8B3,33167_1158_00009,9 Rue Joan Miro 33270 Floirac,33270,Floirac,33,maison,2006-2012,,101.5,C,C,129,constructed,-0.536755440801423,44.836333090706326,33167,1,id_rnb
2633E1530259P,2026-06-08,QWXTRCGM9ZRQ,33063_gi5v2o_00036,36 Rue Bavard 33200 Bordeaux,33200,Bordeaux,33,maison,1948-1974,,112,C,C,123,constructed,-0.625883739428714,44.86389029818859,33063,1,id_rnb
2633E1533724W,2026-06-08,FXGY2E485XZS,33063_6390_00012,12 Rue Minvielle 33000 Bordeaux,33000,Bordeaux,33,appartement,avant 1948,,98.5,B,A,87,constructed,-0.571578118698281,44.853177801744295,33063,1,id_rnb
2633E1526534I,2026-06-08,FPFR7ZA1WH8F,33312_0295_00002,2 Allée du Bois du Château 33290 Parempuyre,33290,Parempuyre,33,maison,1978-1982,,158.3,D,B,241,constructed,-0.60638233580476,44.94361971942945,33312,1,id_rnb
2633E1535535N,2026-06-08,KXYP8886SZWQ,33550_0630_00037_bis,37bis Chemin de Hourcade 33140 Villenave-d'Ornon,33140,Villenave-d'Ornon,33,maison,1989-2000,,150,C,C,99,constructed,-0.54437031434402,44.78370279833673,33550,1,id_rnb
2633E1536550O,2026-06-08,9KR381HPEBKZ,33063_8640_00005,5 Allée Serr 33100 Bordeaux,33100,Bordeaux,33,appartement,2013-2021,,90,C,C,76,constructed,-0.561083847889394,44.84114471645718,33063,2,id_rnb
2633E1536847Z,2026-06-08,G7EDFT5QVE8C,33366_0321_00071_d,71d Rue de la Fontaine 33240 Saint-André-de-Cubzac,33240,Saint-André-de-Cubzac,33,maison,2001-2005,,80.5,C,B,165,constructed,-0.434522817481798,44.99972072847263,33366,2,id_rnb
2633E1526333P,2026-06-08,2TYDGPFRV7CW,33162_0429_00015_a,15A Allée du Moulin a Vent 33320 Eysines,33320,Eysines,33,appartement,1989-2000,,45.4,D,B,195,constructed,-0.645940941254305,44.884925990666616,33162,2,id_rnb
2633E1534357F,2026-06-08,3N2KQB5V8NA8,33437_5610_00096,96 Avenue du Stade 33350 Saint-Magne-de-Castillon,33350,Saint-Magne-de-Castillon,33,maison,avant 1948,,186.8,C,A,126,constructed,-0.081056578977453,44.84328970870014,33437,1,id_rnb
2633E1525748C,2026-06-08,234BMSA7Y3Y1,33281_0940_00017,17 Rue Fontaine d'Arlac 33700 Mérignac,33700,Mérignac,33,appartement,1983-1988,,46.3,D,B,233,constructed,-0.624869441901242,44.82692877002623,33281,1,id_rnb
2633E1529099Z,2026-06-08,F99WWPHRWHNE,33063_6065_00123,123 Cours de la Marne 33800 Bordeaux,33800,Bordeaux,33,appartement,avant 1948,,34.1,C,A,163,constructed,-0.565682070885964,44.82916459889262,33063,1,id_rnb
2633E1525870U,2026-06-08,N9KZJESV34AG,33090_4178_00014,14 Chemin de Cassiot 33610 Canéjan,33610,Canéjan,33,maison,1948-1974,,190.3,D,D,184,constructed,-0.653276500595132,44.75998029830825,33090,1,id_rnb
2633E1538907F,2026-06-08,2ZKS8TQTF83Q,33174_0145_00021,21 Rue du port de La Feuillade 33126 Fronsac,33126,Fronsac,33,appartement,avant 1948,,82,C,A,148,constructed,-0.248057194153972,44.917343628940365,33174,3,id_rnb
2633E1528437N,2026-06-08,G857PX1HRV1K,33075_0098_00010,10 Rue de la Colonne 33520 Bruges,33520,Bruges,33,immeuble,1948-1974,,,E,E,273,constructed,-0.614138987565156,44.87252476605539,33075,1,id_rnb
2633E1531002E,2026-06-08,8PHGW1HA2T3F,33162_0384_00005,5 Rue Louis Jouvet 33320 Eysines,33320,Eysines,33,maison,2006-2012,,166.5,C,B,154,constructed,-0.638371151834935,44.88183373625619,33162,1,id_rnb
2633E1529659N,2026-06-08,WWVXEF35R7JT,33080_0353_00019,19 Rue des Graves 33140 Cadaujac,33140,Cadaujac,33,maison,1989-2000,1989,131.1,D,B,181,constructed,-0.543679193904375,44.74933716588674,33080,1,id_rnb
2633E1532524S,2026-06-08,QE1C584KRDW5,33063_5220_00061,61 Rue de Laseppe 33000 Bordeaux,33000,Bordeaux,33,immeuble,1975-1977,,,E,C,303,constructed,-0.584509840271928,44.85336912102977,33063,1,id_rnb
2633E1533807B,2026-06-08,CEB3HKDFEWAV,33366_0265_00032,32 Rue Elie Faure 33240 Saint-André-de-Cubzac,33240,Saint-André-de-Cubzac,33,maison,1989-2000,1999,67.6,D,B,198,constructed,-0.433790019302808,44.99986718359679,33366,3,id_rnb
2633E1529540Y,2026-06-08,JGBFSDJ3MWHN,33063_8855,Rue du Tauzin 33000 Bordeaux,33000,Bordeaux,33,appartement,1989-2000,,50.2,C,A,151,constructed,-0.601310836594526,44.82140132853476,33063,1,id_rnb
2633E1530316U,2026-06-08,QE1C584KRDW5,33063_5220_00061,61 Rue de Laseppe 33000 Bordeaux,33000,Bordeaux,33,appartement,1978-1982,,22.8,C,B,186,constructed,-0.584509840271928,44.85336912102977,33063,1,id_rnb
2633E1531478M,2026-06-08,EFPZD1TCJEYQ,33162_0121_00016,16 Rue Charles Gounod 33320 Eysines,33320,Eysines,33,maison,1948-1974,,119.8,D,D,152,constructed,-0.640797836659807,44.866337914398514,33162,1,id_rnb
2633E1531498G,2026-06-08,4ZJT43R8QFSR,33063_7240_00058,58 Rue Peyronnet 33800 Bordeaux,33800,Bordeaux,33,appartement,avant 1948,,13.2,C,A,220,constructed,-0.560503583774859,44.828347751578036,33063,1,id_rnb
2633E1529733J,2026-06-08,7MZGC9D3QY31,33039_0549_00021,21 Allée des Cheminots 33130 Bègles,33130,Bègles,33,appartement,2013-2021,,43.5,C,C,83,constructed,-0.543100642610685,44.798777305299936,33039,2,id_rnb
2633E1533441Z,2026-06-08,9ENZS1T2PR98,33063_8820_00022,22 Rue de Taregua 33800 Bordeaux,33800,Bordeaux,33,appartement,1978-1982,,23.7,E,B,303,constructed,-0.574021758814557,44.8137026496006,33063,1,id_rnb
2633E1533928S,2026-06-08,FCDWWCR5FKE8,33063_1415,Rue Camena d'Almeida 33000 Bordeaux,33000,Bordeaux,33,appartement,1983-1988,,47,C,A,144,constructed,-0.608355732487338,44.83172697617029,33063,3,id_rnb
2633E1531004G,2026-06-08,D76GX1RR9EP6,33249_0222_00001,1 Côte de la Garonne 33310 Lormont,33310,Lormont,33,appartement,2013-2021,2020,45.9,A,A,54,constructed,-0.518212933213507,44.88623243410737,,0,id_rnb
2633E1532890U,2026-06-08,6HB8SJVYQWP9,33433_0240_00025,25 Rue Frederic Chopin 33450 Saint-Loubès,33450,Saint-Loubès,33,maison,2006-2012,2011,100.8,C,B,159,constructed,-0.440171576731673,44.92303116053823,33433,1,id_rnb
2633E1528945B,2026-06-08,GNNBXFF6RNCH,33063_4680_00067,67 Rue Jean Renaud Dandicolle 33000 Bordeaux,33000,Bordeaux,33,appartement,avant 1948,,26.4,D,B,273,constructed,-0.588942490042916,44.83172833842773,33063,1,id_rnb
2633E1536614A,2026-06-08,DQKY64GD43YY,33281_2250_00012,12 Rue Paul Doumer 33700 Mérignac,33700,Mérignac,33,appartement,1975-1977,,20.1,E,D,331,constructed,-0.614946609232185,44.83043711972367,33281,2,id_rnb
2633E1537606E,2026-06-08,861YPE4TD7WP,33063_6745_00091,91 Rue Notre Dame 33000 Bordeaux,33000,Bordeaux,33,appartement,avant 1948,,46,D,B,206,constructed,-0.570696353298575,44.852567584548424,33063,1,id_rnb
2633E1530855N,2026-06-08,8VHAP66XKCWZ,33366_0309_00035_bis,35bis Rue de Fonboudeau 33240 Saint-André-de-Cubzac,33240,Saint-André-de-Cubzac,33,appartement,avant 1948,,37.6,E,B,266,constructed,-0.440238885987428,44.99704713694677,33366,1,id_rnb
2633E1533662M,2026-06-08,695ATSMCSHPK,33522_0725,Rue du 19 Mars 1962 33400 Talence,33400,Talence,33,appartement,2013-2021,2019,41.1,C,C,94,constructed,-0.594524985695563,44.79707460425009,33522,2,id_rnb
2633E1529872S,2026-06-08,VQR3CTE2BN1P,33192_7692_00001,1 Rue des Mésanges 33170 Gradignan,33170,Gradignan,33,maison,1948-1974,,82,B,A,102,constructed,-0.61028465994809,44.78406987175741,33192,1,id_rnb
2633E1530263T,2026-06-08,Q84AE6M482Q4,33529_0880,Rue du Docteur Sémiac 33260 La Teste-de-Buch,33260,La Teste-de-Buch,33,appartement,2006-2012,2006,63.4,D,B,247,constructed,-1.138725427697887,44.63498446242615,33529,2,id_rnb
2633E1537608G,2026-06-08,5DZGYWAJ471R,33550_0265_00020,20 Rue Colette Besson 33140 Villenave-d'Ornon,33140,Villenave-d'Ornon,33,appartement,2013-2021,2014,39.5,C,C,89,constructed,-0.535204079142251,44.777653173128726,33550,1,id_rnb
2633E1536534Y,2026-06-08,ZDJTRWVCB1MH,33522_1285_00010,10 Avenue Georges Lasserre 33400 Talence,33400,Talence,33,appartement,2013-2021,,28.6,C,C,107,constructed,-0.591196671837925,44.80542658039738,33522,1,id_rnb
2633E1537637J,2026-06-08,WN8KG7TWC1FE,33063_rwn1sj_00017,17 Avenue de la Gare 33200 Bordeaux,33200,Bordeaux,33,appartement,2006-2012,2008,59.6,C,C,135,constructed,-0.629742832044404,44.845611069765795,33063,5,id_rnb
2633E1529943L,2026-06-08,92HDMYEKRXAF,33219_0200_00010,10 Chemin du Pusquey 33240 La Lande-de-Fronsac,33240,La Lande-de-Fronsac,33,maison,avant 1948,,166,D,C,187,constructed,-0.38232628313837,44.98763592652058,33219,1,id_rnb
