building_id,hauteur_m
ACT_00228b4a-8001-4aa1-8233-2a85a82e4f70,4.944
ACT_005ed415-6be9-4206-a8ee-bef37466c99c,3.99
ACT_007167dd-79e3-4ac0-9791-abab9c0cc91c,11.763
ACT_0078767d-37e5-4b4d-a6e7-ab5dedd90ef7,12.769
ACT_00885b07-3eb3-4831-813e-26d02d5faf06,5.265
ACT_0089f5d6-9c3d-48e2-b6b6-b519809ac20c,35.36
ACT_00a2afac-0f26-4128-89b8-e47f3751f9d0,8.525
ACT_00ba12d1-8519-4a41-8507-05c8d63574a6,5.812
ACT_00ca8015-5946-4fe9-a607-e7246988d33c,9.239
ACT_00d78d1a-8855-4615-ae7d-4a21df0b00ca,8.082
ACT_00da155c-6184-487f-b71a-250e5eb595d2,7.887
ACT_00f5e799-ff9e-47cc-9cdc-bf2b4d2fa7aa,11.566
ACT_0133b24a-9533-4c2f-8679-9ae49b67432f,9.502
ACT_01475cc4-4cdb-4fc1-bb85-9831e01f7873,10.576
ACT_0172cbd3-ca81-46e5-9212-0cd4e819373d,12.211
ACT_019754d8-d80f-4705-8cc7-356db9c3a8b0,10.676
ACT_01ca1150-2f04-429f-906d-e7608555aaa4,3.009
ACT_01e6c69c-e176-4984-9219-208c8c69b5ff,9.284
ACT_01e7041a-2d08-4997-ac5f-00345dc05773,8.788
ACT_024f5ae7-74df-44d9-9ac6-5703bd4a971a,16.474
ACT_0265a40a-9709-4661-b8e9-cba6ab8c3998,8.15
ACT_0276f807-62e5-4091-b8f0-160fef016d47,11.5
ACT_029e4152-e684-4a7b-b632-1e8f2bd8cfff,7.17
ACT_029e6fd6-99d9-4162-b167-075613814294,10.425
ACT_02cfcdc3-3f62-41de-b6cb-b72a26858fa8,8.884
ACT_02ecca33-de14-4c46-888d-1d68dea41926,3.649
ACT_038f07b4-3638-4853-b713-c11c62ef449a,3.914
ACT_03a740b7-4b41-4b7f-a4ae-71a5d8f72fdb,12.709
ACT_040e74f1-ad7e-4054-9290-509a6fc01781,4.007
ACT_04133bcd-244c-464c-a4f8-899ea59100c6,8.244
ACT_0422af22-0fc3-4c15-acd2-77c3547ebcaa,10.182
ACT_0449e679-a7fb-4d68-8e8c-302070ce4b0d,9.64
ACT_04c1c2c0-1e04-4d2c-9125-c25b383b457c,11.377
ACT_04dc0e7f-8ab3-4cda-ab18-2a921741d8f4,9.401
ACT_04e255b0-1f72-46bc-a2f2-7d9a7d648fa8,10.006
ACT_05360c62-2a31-4582-a863-e15bce8cc9ba,5.408
ACT_0570282a-9221-4911-a2c2-24985a3a6f17,8.929
ACT_05b42215-4c50-4bba-a09f-dd30de57817c,3.551
ACT_05c6db8b-aedc-4ba1-ac49-80a451007857,13.689
ACT_062133b0-7c32-48e6-9022-908c759e8aa6,6.756
ACT_06d6939f-08b4-4578-aeec-35957e97934d,3.311
ACT_06fa4b11-93e3-425f-9cce-7f0347774004,10.513
ACT_077c39d6-6fd7-4f39-a647-71f2e9f92fa0,11.591
ACT_078821aa-ffbe-4338-8ff1-ecab6960adba,12.981
ACT_0795c99b-b2a1-4440-8417-9e2b7d420c35,3.996
ACT_07a6bb3a-fb08-47d0-a261-43594c6302b3,9.933
ACT_07ad6acf-0fa4-43b4-932f-14149b1d0cb6,11.507
ACT_07cf5a86-4616-4b67-becf-2a164f9a6cc3,12.551
ACT_07d6c0ce-f5dc-496d-861a-6e2173913e44,3.43
ACT_07f20299-e692-4f9a-adb5-cbd5d9f30505,16.352
ACT_08124b22-9593-4220-8d64-2482b687e55f,6.964
ACT_081ac7b3-2eb5-4706-8ab7-6a5bb367e1ec,9.656
ACT_081e952e-6b64-46c2-8d5e-72b5a784a802,12.482
ACT_08259b6f-ed59-4f37-8c67-fa606529134c,5.453
ACT_083cd75e-0006-474e-b0ac-237005911308,9.794
ACT_08637d89-50b1-4c58-8c7d-55af3aad7881,13.039
ACT_08a3d05b-2ed4-40c7-bb52-97698f0d77ee,11.186
ACT_08d42ec7-4b5e-4e55-976a-8c8d782940ef,9.478
ACT_09218533-5898-41b7-8a37-476fd441a861,4.859
ACT_0926a6ea-9b2b-45b5-82de-ba124bcd265c,11.893
ACT_093bd294-b299-4a71-b5aa-92b5a0571be2,5.363
ACT_09672b3e-a2bb-412f-9e85-c5901a0bf48b,13.069
ACT_097712cf-253a-4bea-854d-8d28228be44e,8.275
ACT_097d3249-97fa-45e9-89b7-897a0f174969,11.229
ACT_099692e9-2ce7-4574-84e5-ce6d75f55a79,11.395
ACT_09bff64b-64e9-4c59-9b79-9271c2574f24,10.111
ACT_0a185778-e6b5-4e3a-916d-89b81da738c8,7.713
ACT_0a44d2b5-a0e8-43df-816f-543105741d6c,8.004
ACT_0a771800-ecd6-42e4-b382-263a5ffc7ec5,5.957
ACT_0a8e999b-27af-40fd-9d68-dcfb0f873168,6.79
ACT_0af2bf05-d29c-4b6b-b50e-8b2ecadc8dbe,6.789
ACT_0b2b7f22-2ab5-42f0-8f65-312b9f6dedd8,11.173
ACT_0b5ba22f-7252-4328-8def-a409021b6401,7.138
ACT_0b82a1e7-b592-4045-9486-b7053c5f2484,4.079
ACT_0b9b1519-f588-4a9a-bec6-ec0b0c39eb79,4.178
ACT_0bfc72a2-1c77-435b-8068-f67660921e44,9.791
ACT_0c247b84-3afe-49f2-9c44-2dd7400d565d,10.767
ACT_0c2b9ef1-4a1a-47ed-8c00-1cb91cded189,3.744
ACT_0c481be4-05e8-409d-8e39-1bbd5e312657,8.645
ACT_0c861164-9f5c-49dd-897b-caa6fb310fca,10.35
ACT_0cb1189d-42d5-4ffb-b1ed-73dc90e217f8,29.565
ACT_0cba2f87-da61-4f5e-b8a4-dd11996c9731,9.385
ACT_0cc7925a-3067-45eb-a1af-f136804425e0,12.916
ACT_0d30650a-b6b6-4338-ab16-12437ff3f5e7,3.997
ACT_0d54f682-0f67-4149-8ff0-f5d914aefa49,9.798
ACT_0d9136af-8e91-4d13-a063-4182f9b17e4b,9.108
ACT_0dae6616-3dc1-42c9-877d-b0eb9335ac56,10.944
ACT_0dbbdc4f-f1c6-41f8-9b31-3ec7f3a842bb,5.118
ACT_0dfb6580-eea0-4383-84ed-3177310d2883,13.901
ACT_0e320742-1423-4085-9a8e-39607ca3054f,5.375
ACT_0e536e47-d817-4ea6-8df1-b9e687875b46,3.661
ACT_0e53bf81-fbc9-4200-85fd-6739984c1224,6.095
ACT_0e8a0832-cb08-4252-8592-1106d28cbe50,9.672
ACT_0e97725e-2a54-4a6c-b501-f67071a014cc,6.573
ACT_0ec6ac6e-f7fd-4f26-afe1-8c718d93a361,6.805
ACT_0ecb104b-01da-46c6-abe7-921fb1ddf01e,7.198
ACT_0ed8d8a1-d631-4fe5-825b-d81996ebcbde,10.093
ACT_0edcbb3f-c686-43e6-825a-0d4d82e6b07f,14.023
ACT_0ee3c69c-712f-45b7-b9c9-219dd76a4137,3.33
ACT_0eeeb6b1-066c-4aca-9f95-6c6933796763,4.008
ACT_0f9fae2e-2e66-4c2b-bb44-4ebf9e5fcb26,8.647
ACT_0fa9f0eb-27b3-4512-b7a3-8e6a6451979a,8.815
ACT_0fb420f5-2372-4a6c-ba91-5b2ac7ec2f6b,11.697
ACT_0fb4ba76-47d6-4fc7-b880-4b0bc372b56a,7.856
ACT_0fcfc51a-43d8-4c19-9a45-3ad5436ba410,7.264
ACT_0fdc128e-2b37-44d0-a405-afb6bba7e0f7,9.303
ACT_0ff4eda6-353c-4889-90d1-cfaa0661ce71,14.62
ACT_0ffcff45-ca59-445c-8658-c1a353835bc4,3.822
ACT_101273b6-7a97-4b40-808d-169da213a6ab,5.145
