building_id,lon,lat,n_addresses,adresse_ejemplo,parcel_ref,parcel_label,parcel_area_m2
Building2D.ACT_0008e655-5fe5-421d-99c6-f5e5247a58b5,6.2049273,49.8981827,0,,047C00014000084,14/84,868.65
Building2D.ACT_0021fb48-b529-4793-89fa-5ad4c0368793,6.1741088,49.8735081,2,"60, Rue du Herrenberg, 9210 Diekirch, Luxembourg",030A02657008807,2657/8807,38396.48
Building2D.ACT_004fbf7f-0de6-4e1a-908c-2b47493bf869,6.1852733,49.8707393,1,"29, Rue Clairefontaine, 9221 Gilsdorf, Luxembourg",013C02789004461,2789/4461,386.39
Building2D.ACT_005ed415-6be9-4206-a8ee-bef37466c99c,6.21415,49.874014,0,,013A00267005877,267/5877,7355.3
Building2D.ACT_007167dd-79e3-4ac0-9791-abab9c0cc91c,6.1801243,49.8645657,1,"14, Rue de l'Eau, 9373 Gilsdorf, Luxembourg",013C00122004144,122/4144,1067.11
Building2D.ACT_0078767d-37e5-4b4d-a6e7-ab5dedd90ef7,6.1857612,49.86705,1,"78, Rue Principale, 9370 Gilsdorf, Luxembourg",013C00300004147,300/4147,1709
Building2D.ACT_008029b4-672f-442f-82ef-5f7718748b8a,6.1694233,49.866579,0,,030B00186001542,186/1542,37900.24
Building2D.ACT_00885b07-3eb3-4831-813e-26d02d5faf06,6.170602,49.859245,0,,013C02171003918,2171/3918,2050.75
Building2D.ACT_0089f5d6-9c3d-48e2-b6b6-b519809ac20c,6.2162379,49.8771771,1,"19, Rue de l'Eglise, 9355 Bettendorf, Luxembourg",013A00131000000,131,426.94
Building2D.ACT_00a2afac-0f26-4128-89b8-e47f3751f9d0,6.2158219,49.8763644,1,"5, Rue de l'Eglise, 9355 Bettendorf, Luxembourg",013A00232003572,232/3572,90.6
Building2D.ACT_00ca8015-5946-4fe9-a607-e7246988d33c,6.18252,49.8662442,1,"46, Rue Principale, 9370 Gilsdorf, Luxembourg",013C00208001616,208/1616,688
Building2D.ACT_00d78d1a-8855-4615-ae7d-4a21df0b00ca,6.223018,49.87917,1,"2, Am Roudebierg, 9357 Bettendorf, Luxembourg",013A00908005371,908/5371,516.55
Building2D.ACT_00da155c-6184-487f-b71a-250e5eb595d2,6.2088514,49.8758457,1,"39, Route de Diekirch, 9355 Bettendorf, Luxembourg",013A00305004861,305/4861,522.3
Building2D.ACT_00f5e799-ff9e-47cc-9cdc-bf2b4d2fa7aa,6.2202786,49.8767757,1,"1, Cité Pierre Strauss, 9357 Bettendorf, Luxembourg",013A00392004770,392/4770,382.47
Building2D.ACT_00f996bc-0209-470b-bd58-cedf1fcd63f3,6.1734306,49.8644572,1,"136, Route de Gilsdorf, 9234 Diekirch, Luxembourg",030B00075001234,75/1234,2162.25
Building2D.ACT_010b70d1-1743-4fa6-aa76-06634d0a384d,6.1702989,49.8688672,1,"81, Rue Clairefontaine, 9220 Diekirch, Luxembourg",030A02818007500,2818/7500,1012.37
Building2D.ACT_0133b24a-9533-4c2f-8679-9ae49b67432f,6.2158431,49.8762688,0,,013A00232003573,232/3573,192.52
Building2D.ACT_01475cc4-4cdb-4fc1-bb85-9831e01f7873,6.1795443,49.8693786,2,"5A, Rue Clairefontaine, 9221 Gilsdorf, Luxembourg",013C02726004534,2726/4534,45.2
Building2D.ACT_0172cbd3-ca81-46e5-9212-0cd4e819373d,6.1791657,49.8693514,2,"1, Rue Clairefontaine, 9221 Gilsdorf, Luxembourg",013C02723001398,2723/1398,107.22
Building2D.ACT_019754d8-d80f-4705-8cc7-356db9c3a8b0,6.2170871,49.8880371,0,,013A01915005489,1915/5489,51359.47
Building2D.ACT_01a8fd37-9606-42e9-b94c-b3cc293bad9d,6.1823371,49.8962757,0,,004E00021003925,21/3925,1215.01
Building2D.ACT_01c18b0d-f3eb-40bd-b45f-c66859c552d8,6.25483,49.8645543,2,"4, Um Stued, 9390 Reisdorf, Luxembourg",096C00186002877,186/2877,1768.01
Building2D.ACT_01e6c69c-e176-4984-9219-208c8c69b5ff,6.2474222,49.8632444,0,,013B00946001307,946/1307,1084.05
Building2D.ACT_01e7041a-2d08-4997-ac5f-00345dc05773,6.2208686,49.87802,1,"48, Cité Pierre Strauss, 9357 Bettendorf, Luxembourg",013A00411004752,411/4752,592.98
Building2D.ACT_024f5ae7-74df-44d9-9ac6-5703bd4a971a,6.190915,49.8717777,0,,013A01153005535,1153/5535,30727
Building2D.ACT_0265a40a-9709-4661-b8e9-cba6ab8c3998,6.2388314,49.8722243,1,"6, Rue des Vergers, 9381 Moestroff, Luxembourg",013B01313001563,1313/1563,1197.02
Building2D.ACT_0276f807-62e5-4091-b8f0-160fef016d47,6.2128457,49.8757557,1,"7, Cité Hanner Zengen, 9352 Bettendorf, Luxembourg",013A00308005613,308/5613,185.12
Building2D.ACT_029e4152-e684-4a7b-b632-1e8f2bd8cfff,6.2076437,49.8770025,1,"23, Am Elick, 9354 Bettendorf, Luxembourg",013A01264001689,1264/1689,1209.05
Building2D.ACT_029e6fd6-99d9-4162-b167-075613814294,6.2211592,49.8770446,1,"3, An der Grouf, 9357 Bettendorf, Luxembourg",013A00387004953,387/4953,757.66
Building2D.ACT_02bb8937-e9f9-4b0c-bb80-817d1950330c,6.1688625,49.888493,0,,004D01252003608,1252/3608,2334.42
Building2D.ACT_02cfcdc3-3f62-41de-b6cb-b72a26858fa8,6.212957,49.874398,1,"9B, Fraeschegaass, 9353 Bettendorf, Luxembourg",013A00276005065,276/5065,137.64
Building2D.ACT_02ecca33-de14-4c46-888d-1d68dea41926,6.184205,49.867135,0,,013C00261004673,261/4673,300.77
Building2D.ACT_03674165-0846-45a2-875d-7340b3610f37,6.262222,49.867368,1,"9, Rue de la Gare, 9391 Reisdorf, Luxembourg",096C00810003153,810/3153,689.15
Building2D.ACT_0376e3a3-6e01-4c18-b792-545abf5ea696,6.2543745,49.8646255,0,,096C00186002877,186/2877,1768.01
Building2D.ACT_038f07b4-3638-4853-b713-c11c62ef449a,6.22064,49.8727343,0,,013A02729005116,2729/5116,29553.63
Building2D.ACT_03a740b7-4b41-4b7f-a4ae-71a5d8f72fdb,6.18386,49.8670089,1,"57A, Rue Principale, 9370 Gilsdorf, Luxembourg",013C00427005089,427/5089,263.61
Building2D.ACT_04133bcd-244c-464c-a4f8-899ea59100c6,6.2236221,49.8758521,1,"2, Cité Hannert dem Schlass, 9353 Bettendorf, Luxembourg",013A00512005257,512/5257,899.2
Building2D.ACT_0422af22-0fc3-4c15-acd2-77c3547ebcaa,6.21473,49.8742458,1,"14, Fraeschegaass, 9353 Bettendorf, Luxembourg",013A00263005089,263/5089,2888.9
Building2D.ACT_04c1c2c0-1e04-4d2c-9125-c25b383b457c,6.2176086,49.87051,1,"12A, Route d'Eppeldorf, 9353 Bettendorf, Luxembourg",013A02698005524,2698/5524,203.15
Building2D.ACT_04dc0e7f-8ab3-4cda-ab18-2a921741d8f4,6.1770257,49.86322,1,"6, Am Aal, 9370 Gilsdorf, Luxembourg",013C00050004834,50/4834,243.45
Building2D.ACT_04e255b0-1f72-46bc-a2f2-7d9a7d648fa8,6.2211662,49.8752046,1,"17, Rue du Château, 9353 Bettendorf, Luxembourg",013A00164005934,164/5934,16260.64
Building2D.ACT_05360c62-2a31-4582-a863-e15bce8cc9ba,6.1803577,49.8697223,0,,013C02745004608,2745/4608,2267.76
Building2D.ACT_054a9fa2-ab82-4df5-b1e5-402aefecc054,6.187794,49.873618,0,,004D02142002430,2142/2430,10409.53
Building2D.ACT_0570282a-9221-4911-a2c2-24985a3a6f17,6.21619,49.8769433,1,"17, Rue de l'Eglise, 9355 Bettendorf, Luxembourg",013A00125004502,125/4502,154.87
Building2D.ACT_059f861e-3edf-4093-893b-2a4803e96460,6.2568309,49.8821213,1,"3, Maison, 9456 Hoesdorf, Luxembourg",096A00032001873,32/1873,275.98
Building2D.ACT_05b0e3f6-eec0-4d60-bec7-351eaa7ba4e0,6.2598781,49.8686856,1,"6, Cité Jean Hientgen, 9390 Reisdorf, Luxembourg",096C00203003119,203/3119,608.9
Building2D.ACT_05b2de5e-bcb3-4833-a10d-63bab3ae200c,6.2058326,49.8963137,0,,047C00167000184,167/184,85713.94
Building2D.ACT_05b42215-4c50-4bba-a09f-dd30de57817c,6.1850443,49.8676829,0,,013C00335004558,335/4558,700.46
Building2D.ACT_05c6db8b-aedc-4ba1-ac49-80a451007857,6.1802419,49.8650037,1,"8, Rue de l'Eau, 9373 Gilsdorf, Luxembourg",013C00116004732,116/4732,730.74
Building2D.ACT_05f8e9ec-7251-45ee-97c3-b17aaf39bc22,6.24765,49.888592,0,,096A00547000579,547/579,1650.63
Building2D.ACT_062133b0-7c32-48e6-9022-908c759e8aa6,6.2173311,49.8707944,0,,013A02698005475,2698/5475,617.22
Building2D.ACT_0646244a-8d0c-4a80-9ea0-330cd8243c07,6.172858,49.864052,0,,030B00082001538,82/1538,704.94
Building2D.ACT_06d6939f-08b4-4578-aeec-35957e97934d,6.220971,49.867415,0,,013A02516003401,2516/3401,2098.68
Building2D.ACT_06fa4b11-93e3-425f-9cce-7f0347774004,6.2248264,49.8757809,1,"39, Rue du Château, 9353 Bettendorf, Luxembourg",013A00561005385,561/5385,3719.84
Building2D.ACT_070eca74-9280-418d-9a40-78b602d0078c,6.2623767,49.8693756,0,,096C00275002903,275/2903,685.69
Building2D.ACT_077c39d6-6fd7-4f39-a647-71f2e9f92fa0,6.21654,49.8774138,1,"16, Rue de l'Eglise, 9355 Bettendorf, Luxembourg",013A00140001894,140/1894,103.44
Building2D.ACT_078821aa-ffbe-4338-8ff1-ecab6960adba,6.2205467,49.8795253,1,"22A, An der Grouf, 9357 Bettendorf, Luxembourg",013A00465005359,465/5359,326.56
Building2D.ACT_078bd2d5-0f05-4735-b104-4390ef82d513,6.1730664,49.8648473,2,"103, Route de Gilsdorf, 9234 Diekirch, Luxembourg",030B00036001854,36/1854,790.93
Building2D.ACT_0795c99b-b2a1-4440-8417-9e2b7d420c35,6.2197744,49.8793556,0,,013A00455005540,455/5540,408.11
Building2D.ACT_07a12df3-a5d3-45b8-9270-f8ed0ddb7909,6.182256,49.897276,0,,004E00039000950,39/950,1217.7
Building2D.ACT_07a6bb3a-fb08-47d0-a261-43594c6302b3,6.2216625,49.877755,1,"16, An der Grouf, 9357 Bettendorf, Luxembourg",013A00489002808,489/2808,151.19
Building2D.ACT_07ad6acf-0fa4-43b4-932f-14149b1d0cb6,6.1836027,49.8669291,1,"55, Rue Principale, 9370 Gilsdorf, Luxembourg",013C00427004492,427/4492,731.38
Building2D.ACT_07cf5a86-4616-4b67-becf-2a164f9a6cc3,6.2178045,49.8882845,0,,013A01915005489,1915/5489,51359.47
Building2D.ACT_07d6c0ce-f5dc-496d-861a-6e2173913e44,6.2209814,49.87296,0,,013A02729005116,2729/5116,29553.63
Building2D.ACT_07f20299-e692-4f9a-adb5-cbd5d9f30505,6.242844,49.8630007,1,"12A, Route de Diekirch, 9381 Moestroff, Luxembourg",013B01522002135,1522/2135,1085.03
Building2D.ACT_08124b22-9593-4220-8d64-2482b687e55f,6.2216155,49.8806827,1,"14, Am Roudebierg, 9357 Bettendorf, Luxembourg",013A01757002726,1757/2726,3695.16
Building2D.ACT_081e952e-6b64-46c2-8d5e-72b5a784a802,6.1840356,49.8670544,1,"57C, Rue Principale, 9370 Gilsdorf, Luxembourg",013C00427005091,427/5091,292.72
Building2D.ACT_08259b6f-ed59-4f37-8c67-fa606529134c,6.2174129,49.8724057,0,,013A02265000000,2265,1296.29
Building2D.ACT_083cd75e-0006-474e-b0ac-237005911308,6.2151736,49.8743027,1,"8, Fraeschegaass, 9353 Bettendorf, Luxembourg",013A00258005092,258/5092,3215.44
Building2D.ACT_08637d89-50b1-4c58-8c7d-55af3aad7881,6.2417358,49.8647217,2,"4E, Route de Diekirch, 9381 Moestroff, Luxembourg",013B01508002165,1508/2165,588.7
Building2D.ACT_086c24da-ed26-41da-bf80-fd315706fbe5,6.175672,49.867064,0,,030B00016000613,16/613,3430.2
Building2D.ACT_08930381-db4c-4bf1-84e7-6e0b85774b07,6.256754,49.883145,1,"11, Maison, 9456 Hoesdorf, Luxembourg",096A00043000218,43/218,85.49
Building2D.ACT_08a3d05b-2ed4-40c7-bb52-97698f0d77ee,6.2401029,49.8686614,1,"25D, Route de Diekirch, 9381 Moestroff, Luxembourg",013B01452002264,1452/2264,1285.97
Building2D.ACT_08d42ec7-4b5e-4e55-976a-8c8d782940ef,6.213162,49.875522,1,"11, Cité Hanner Zengen, 9352 Bettendorf, Luxembourg",013A00308005617,308/5617,331.21
Building2D.ACT_09218533-5898-41b7-8a37-476fd441a861,6.176304,49.85874,0,,013C02464003244,2464/3244,5386.93
Building2D.ACT_0926a6ea-9b2b-45b5-82de-ba124bcd265c,6.2153589,49.8745422,1,"1B, Fraeschegaass, 9353 Bettendorf, Luxembourg",013A00245005675,245/5675,249.53
