building_id,lon,lat,n_addresses,adresse_ejemplo,parcel_ref,parcel_label,parcel_area_m2
Building2D.ACT_000449d9-17cc-4c6c-adb2-8994bdb159ab,6.1316931,49.6151015,1,"6, Rue Laurent Menager, 2143 Luxembourg, Luxembourg",075B00050000000,50,168.14
Building2D.ACT_00b906a0-3f9b-487b-9044-166abf5d8aa8,6.1304779,49.613941,1,"17, Côte d'Eich, 1450 Luxembourg, Luxembourg",075F00003001930,3/1930,744.98
Building2D.ACT_011f8a94-553f-4dd7-b1b3-91809e5e136f,6.1292443,49.6098409,2,"19, Rue Notre-Dame, 2240 Luxembourg, Luxembourg",075F00497000897,497/897,757.1
Building2D.ACT_0139d75b-6d6e-495c-9860-f16b13fea3b1,6.1343071,49.6149021,1,"8, Rue des Trois Glands, 1629 Luxembourg, Luxembourg",075B00263000156,263/156,172.46
Building2D.ACT_018226b2-0845-45bb-b69e-12b2ffc6d4e7,6.1325162,49.6095738,1,"2, Rue de la Congrégation, 1352 Luxembourg, Luxembourg",075F00520002438,520/2438,1479.29
Building2D.ACT_01d40ec8-0816-40f8-a426-41af3f793f0e,6.1351014,49.6085514,2,"17, Rue Plaetis, 2338 Luxembourg, Luxembourg",075C00113000139,113/139,56.38
Building2D.ACT_029cdc69-5047-4ef8-ab3b-728655555360,6.1332452,49.6095824,1,"1, Rue de la Congrégation, 1352 Luxembourg, Luxembourg",075F00630002229,630/2229,2231.75
Building2D.ACT_02fe109f-873d-46ae-9282-f3d4ac6ae000,6.132241,49.612222,0,,075F00287002381,287/2381,123.07
Building2D.ACT_0379d0df-261b-44c2-b860-a6e06e225bc4,6.1258525,49.6102469,1,"26B, Boulevard Royal, 2449 Luxembourg, Luxembourg",075F00722002485,722/2485,234.83
Building2D.ACT_038cce36-459a-44f7-b6f0-077331f567fb,6.1321663,49.6150037,1,"11, Rue Mohrfels, 2158 Luxembourg, Luxembourg",075B00095000535,95/535,52.88
Building2D.ACT_038d499e-b093-47af-ba77-b9320af3f613,6.1331023,49.6151454,1,"1, Rue Alfred Kowalsky, 1866 Luxembourg, Luxembourg",075B00166000500,166/500,285.21
Building2D.ACT_039588a1-77e9-43c3-ad0f-45f0aae0c571,6.1281744,49.6109437,1,"19, Rue Philippe II, 2340 Luxembourg, Luxembourg",075F00162001963,162/1963,62
Building2D.ACT_04026c75-fc42-4c26-b8c5-d053fe48d676,6.1312821,49.6114321,1,"5A, Rue du Curé, 1368 Luxembourg, Luxembourg",075F00244001555,244/1555,119.77
Building2D.ACT_0447fbaf-550b-43bc-b77a-b9cc6e02e8df,6.1284789,49.6146721,1,"1, Boulevard Prince Henri, 1724 Luxembourg, Luxembourg",075F00799002147,799/2147,150.83
Building2D.ACT_05dbc040-2558-4fc3-b721-bc2d47918b58,6.1284993,49.6119,1,"77, Grand-Rue, 1661 Luxembourg, Luxembourg",075F00149000570,149/570,108.4
Building2D.ACT_0610ca9c-948b-4a08-852c-37ee062cca1d,6.1311329,49.61143,1,"5, Rue du Curé, 1368 Luxembourg, Luxembourg",075F00362000170,362/170,272.18
Building2D.ACT_064c619f-0d90-4535-92a9-0f4699b3c16a,6.1308345,49.6117782,3,"27, Grand-Rue, 1661 Luxembourg, Luxembourg",075F00249002353,249/2353,371.9
Building2D.ACT_06520ae5-9b81-482c-9b7e-042fb148c772,6.1284506,49.6098161,2,"31, Rue Notre-Dame, 2240 Luxembourg, Luxembourg",075F00497000938,497/938,263.5
Building2D.ACT_0670adc8-8127-45a2-92a1-a3c469473ee7,6.1275886,49.6101414,6,"29, Rue Aldringen, 1118 Luxembourg, Luxembourg",075F00387002170,387/2170,2118.57
Building2D.ACT_06acefd4-faad-4255-9191-c11c49fe6fe2,6.1326038,49.6089574,1,"5, Rue de la Congrégation, 1352 Luxembourg, Luxembourg",075F00633002399,633/2399,3093.32
Building2D.ACT_070b7d4d-4309-41b3-b0b6-00af13d937ad,6.1318714,49.611695,1,"7, Grand-Rue, 1661 Luxembourg, Luxembourg",075F00304000373,304/373,151.14
Building2D.ACT_075c53bd-b3a9-482b-94c6-e10a7b77db07,6.1264054,49.6128337,1,"4, Rue Aldringen, 1118 Luxembourg, Luxembourg",075F00103002794,103/2794,3721.87
Building2D.ACT_076e30b2-a602-4e4b-b208-650fa4a35ce6,6.1225366,49.6112106,1,"1, Allée Marconi, 2120 Luxembourg, Luxembourg",075F00714002322,714/2322,41396.55
Building2D.ACT_078b7ff7-e745-46cf-bac1-369f29a14763,6.1331465,49.6122065,1,"9, Rue du Palais de Justice, 1841 Luxembourg, Luxembourg",075F00327001103,327/1103,2854.12
Building2D.ACT_079a1d49-1040-4458-9747-98cc1309e858,6.1285757,49.6102964,1,"15, Rue Louvigny, 1946 Luxembourg, Luxembourg",075F00441000000,441,149.94
