TIMESTAMP_EXTRACT,NIS_CODE,PROVINCIE,HOOFD_GEMEENTE,AANVRAAG_JAAR_VERGUNNING,BESTEMMING,GEMIDDELD_E_PEIL,AANTAL_INGEDIENDE_AG
2026-05-31 23:00:01,"02000",,Vlaanderen,2016,KANTOOR,26,1
2026-05-31 23:00:01,"02000",,Vlaanderen,2017,NIET RESIDENTIEEL EPN,54,35
2026-05-31 23:00:01,"02000",,Vlaanderen,2017,WONEN,37,168
2026-05-31 23:00:01,"02000",,Vlaanderen,2018,NIET RESIDENTIEEL EPN,55,11
2026-05-31 23:00:01,"02000",,Vlaanderen,2018,WONEN,-6,1
2026-05-31 23:00:01,"02000",,Vlaanderen,2019,NIET RESIDENTIEEL EPN,37,7
2026-05-31 23:00:01,"02000",,Vlaanderen,2020,NIET RESIDENTIEEL EPN,48,16
2026-05-31 23:00:01,"02000",,Vlaanderen,2020,WONEN,8,1
2026-05-31 23:00:01,"02000",,Vlaanderen,2021,NIET RESIDENTIEEL EPN,46,13
2026-05-31 23:00:01,"02000",,Vlaanderen,2022,NIET RESIDENTIEEL EPN,23,2
2026-05-31 23:00:01,"02000",,Vlaanderen,2023,NIET RESIDENTIEEL EPN,33,1
2026-05-31 23:00:01,"02000",,Vlaanderen,2024,WONEN,7,3
2026-05-31 23:00:01,"10000",ANTWERPEN,Antwerpen (Provincie),2017,NIET RESIDENTIEEL EPN,-283,6
2026-05-31 23:00:01,"10000",ANTWERPEN,Antwerpen (Provincie),2017,WONEN,-20,12
2026-05-31 23:00:01,"10000",ANTWERPEN,Antwerpen (Provincie),2018,NIET RESIDENTIEEL EPN,50,30
2026-05-31 23:00:01,"10000",ANTWERPEN,Antwerpen (Provincie),2018,WONEN,15,36
2026-05-31 23:00:01,"10000",ANTWERPEN,Antwerpen (Provincie),2018,WONEN MET KANTOOR,17,1
2026-05-31 23:00:01,"10000",ANTWERPEN,Antwerpen (Provincie),2019,NIET RESIDENTIEEL EPN,21,12
2026-05-31 23:00:01,"10000",ANTWERPEN,Antwerpen (Provincie),2019,WONEN,23,5
2026-05-31 23:00:01,"10000",ANTWERPEN,Antwerpen (Provincie),2020,NIET RESIDENTIEEL EPN,46,14
2026-05-31 23:00:01,"10000",ANTWERPEN,Antwerpen (Provincie),2020,WONEN,8,9
2026-05-31 23:00:01,"10000",ANTWERPEN,Antwerpen (Provincie),2021,NIET RESIDENTIEEL EPN,44,32
2026-05-31 23:00:01,"10000",ANTWERPEN,Antwerpen (Provincie),2021,WONEN,11,88
2026-05-31 23:00:01,"10000",ANTWERPEN,Antwerpen (Provincie),2021,WONEN MET KANTOOR,19,1
2026-05-31 23:00:01,"10000",ANTWERPEN,Antwerpen (Provincie),2022,NIET RESIDENTIEEL EPN,36,8
2026-05-31 23:00:01,"10000",ANTWERPEN,Antwerpen (Provincie),2022,WONEN,-3,6
2026-05-31 23:00:01,"10000",ANTWERPEN,Antwerpen (Provincie),2023,NIET RESIDENTIEEL EPN,28,3
2026-05-31 23:00:01,"10000",ANTWERPEN,Antwerpen (Provincie),2023,WONEN,23,1
2026-05-31 23:00:01,"10000",ANTWERPEN,Antwerpen (Provincie),2024,NIET RESIDENTIEEL EPN,42,4
2026-05-31 23:00:01,"11001",ANTWERPEN,Aartselaar,2006,KANTOOR,98,2
2026-05-31 23:00:01,"11001",ANTWERPEN,Aartselaar,2006,SCHOOL,151,1
2026-05-31 23:00:01,"11001",ANTWERPEN,Aartselaar,2006,WONEN,82,57
2026-05-31 23:00:01,"11001",ANTWERPEN,Aartselaar,2006,WONEN MET KANTOOR,69,1
2026-05-31 23:00:01,"11001",ANTWERPEN,Aartselaar,2007,WONEN,90,20
2026-05-31 23:00:01,"11001",ANTWERPEN,Aartselaar,2008,WONEN,69,11
2026-05-31 23:00:01,"11001",ANTWERPEN,Aartselaar,2009,KANTOOR,91,1
2026-05-31 23:00:01,"11001",ANTWERPEN,Aartselaar,2009,WONEN,71,26
2026-05-31 23:00:01,"11001",ANTWERPEN,Aartselaar,2010,KANTOOR,82,1
2026-05-31 23:00:01,"11001",ANTWERPEN,Aartselaar,2010,WONEN,66,37
2026-05-31 23:00:01,"11001",ANTWERPEN,Aartselaar,2011,WONEN,56,51
2026-05-31 23:00:01,"11001",ANTWERPEN,Aartselaar,2012,KANTOOR,78,1
2026-05-31 23:00:01,"11001",ANTWERPEN,Aartselaar,2012,WONEN,54,32
2026-05-31 23:00:01,"11001",ANTWERPEN,Aartselaar,2013,KANTOOR,62,2
2026-05-31 23:00:01,"11001",ANTWERPEN,Aartselaar,2013,WONEN,54,85
2026-05-31 23:00:01,"11001",ANTWERPEN,Aartselaar,2014,WONEN,42,26
2026-05-31 23:00:01,"11001",ANTWERPEN,Aartselaar,2014,WONEN MET KANTOOR,38,1
2026-05-31 23:00:01,"11001",ANTWERPEN,Aartselaar,2015,WONEN,43,124
2026-05-31 23:00:01,"11001",ANTWERPEN,Aartselaar,2015,WONEN MET KANTOOR,23,2
2026-05-31 23:00:01,"11001",ANTWERPEN,Aartselaar,2016,WONEN,29,45
2026-05-31 23:00:01,"11001",ANTWERPEN,Aartselaar,2017,WONEN,33,30
2026-05-31 23:00:01,"11001",ANTWERPEN,Aartselaar,2017,WONEN MET KANTOOR,39,1
2026-05-31 23:00:01,"11001",ANTWERPEN,Aartselaar,2018,NIET RESIDENTIEEL EPN,53,2
2026-05-31 23:00:01,"11001",ANTWERPEN,Aartselaar,2018,WONEN,22,24
2026-05-31 23:00:01,"11001",ANTWERPEN,Aartselaar,2019,NIET RESIDENTIEEL EPN,53,5
2026-05-31 23:00:01,"11001",ANTWERPEN,Aartselaar,2019,WONEN,20,67
2026-05-31 23:00:01,"11001",ANTWERPEN,Aartselaar,2020,WONEN,10,71
2026-05-31 23:00:01,"11001",ANTWERPEN,Aartselaar,2020,WONEN MET KANTOOR,-1,1
2026-05-31 23:00:01,"11001",ANTWERPEN,Aartselaar,2021,NIET RESIDENTIEEL EPN,61,1
2026-05-31 23:00:01,"11001",ANTWERPEN,Aartselaar,2021,WONEN,5,17
2026-05-31 23:00:01,"11001",ANTWERPEN,Aartselaar,2021,WONEN MET KANTOOR,7,1
2026-05-31 23:00:01,"11001",ANTWERPEN,Aartselaar,2022,WONEN,-4,15
2026-05-31 23:00:01,"11001",ANTWERPEN,Aartselaar,2022,WONEN MET KANTOOR,-7,1
2026-05-31 23:00:01,"11001",ANTWERPEN,Aartselaar,2023,WONEN,-4,6
2026-05-31 23:00:01,"11002",ANTWERPEN,Antwerpen,2006,KANTOOR,104,63
2026-05-31 23:00:01,"11002",ANTWERPEN,Antwerpen,2006,SCHOOL,89,3
2026-05-31 23:00:01,"11002",ANTWERPEN,Antwerpen,2006,WONEN,92,1947
2026-05-31 23:00:01,"11002",ANTWERPEN,Antwerpen,2006,WONEN MET KANTOOR,101,6
2026-05-31 23:00:01,"11002",ANTWERPEN,Antwerpen,2007,KANTOOR,84,87
2026-05-31 23:00:01,"11002",ANTWERPEN,Antwerpen,2007,SCHOOL,71,6
2026-05-31 23:00:01,"11002",ANTWERPEN,Antwerpen,2007,WONEN,86,2337
2026-05-31 23:00:01,"11002",ANTWERPEN,Antwerpen,2007,WONEN MET KANTOOR,90,3
2026-05-31 23:00:01,"11002",ANTWERPEN,Antwerpen,2008,KANTOOR,85,54
2026-05-31 23:00:01,"11002",ANTWERPEN,Antwerpen,2008,SCHOOL,60,18
2026-05-31 23:00:01,"11002",ANTWERPEN,Antwerpen,2008,WONEN,83,3387
2026-05-31 23:00:01,"11002",ANTWERPEN,Antwerpen,2008,WONEN MET KANTOOR,89,6
2026-05-31 23:00:01,"11002",ANTWERPEN,Antwerpen,2009,KANTOOR,82,87
2026-05-31 23:00:01,"11002",ANTWERPEN,Antwerpen,2009,SCHOOL,60,9
2026-05-31 23:00:01,"11002",ANTWERPEN,Antwerpen,2009,WONEN,78,2385
2026-05-31 23:00:01,"11002",ANTWERPEN,Antwerpen,2009,WONEN MET KANTOOR,98,6
2026-05-31 23:00:01,"11002",ANTWERPEN,Antwerpen,2010,KANTOOR,79,63
2026-05-31 23:00:01,"11002",ANTWERPEN,Antwerpen,2010,SCHOOL,66,33
2026-05-31 23:00:01,"11002",ANTWERPEN,Antwerpen,2010,WONEN,68,4518
2026-05-31 23:00:01,"11002",ANTWERPEN,Antwerpen,2010,WONEN MET KANTOOR,70,12
2026-05-31 23:00:01,"11002",ANTWERPEN,Antwerpen,2011,KANTOOR,78,66
2026-05-31 23:00:01,"11002",ANTWERPEN,Antwerpen,2011,SCHOOL,67,36
2026-05-31 23:00:01,"11002",ANTWERPEN,Antwerpen,2011,WONEN,69,5931
2026-05-31 23:00:01,"11002",ANTWERPEN,Antwerpen,2011,WONEN MET KANTOOR,58,3
2026-05-31 23:00:01,"11002",ANTWERPEN,Antwerpen,2012,KANTOOR,61,30
2026-05-31 23:00:01,"11002",ANTWERPEN,Antwerpen,2012,SCHOOL,57,78
2026-05-31 23:00:01,"11002",ANTWERPEN,Antwerpen,2012,WONEN,60,2823
2026-05-31 23:00:01,"11002",ANTWERPEN,Antwerpen,2012,WONEN MET KANTOOR,57,9
2026-05-31 23:00:01,"11002",ANTWERPEN,Antwerpen,2013,KANTOOR,62,42
2026-05-31 23:00:01,"11002",ANTWERPEN,Antwerpen,2013,SCHOOL,58,45
2026-05-31 23:00:01,"11002",ANTWERPEN,Antwerpen,2013,WONEN,59,8880
2026-05-31 23:00:01,"11002",ANTWERPEN,Antwerpen,2013,WONEN MET KANTOOR,56,6
2026-05-31 23:00:01,"11002",ANTWERPEN,Antwerpen,2014,KANTOOR,47,75
2026-05-31 23:00:01,"11002",ANTWERPEN,Antwerpen,2014,SCHOOL,46,24
2026-05-31 23:00:01,"11002",ANTWERPEN,Antwerpen,2014,WONEN,45,3609
2026-05-31 23:00:01,"11002",ANTWERPEN,Antwerpen,2014,WONEN MET KANTOOR,48,3
2026-05-31 23:00:01,"11002",ANTWERPEN,Antwerpen,2015,KANTOOR,46,54
2026-05-31 23:00:01,"11002",ANTWERPEN,Antwerpen,2015,SCHOOL,46,30
